ID_Perfil,Dist_km,Lon,Lat,FreeAir_mGal
0,-200,-103.31279500911951,15.552951975191075,9.090604229720391
0,-198,-103.30414204944641,15.568956525932343,11.026862624926826
0,-196,-103.29548895286236,15.584961329904694,12.882395897554956
0,-194,-103.28683571923507,15.60096638735278,13.06866227081063
0,-192,-103.27818234843222,15.616971698521365,13.537137227619978
0,-190,-103.26952884032151,15.632977263655157,14.287834202522872
0,-188,-103.26087519477068,15.648983082998782,15.320766647525543
0,-186,-103.25222141164748,15.664989156796821,16.635948032096884
0,-184,-103.24356749081967,15.680995485293902,16.08713941494423
0,-182,-103.234913432155,15.697002068734628,15.28174480988194
0,-180,-103.2262592355213,15.713008907363443,14.677807964537578
0,-178,-103.21760490078633,15.729016001424952,14.275338510177027
0,-176,-103.20895042781794,15.745023351163576,14.074346090536267
0,-174,-103.20029581648396,15.761030956823783,14.2592704721457
0,-172,-103.19164106665224,15.777038818649993,14.508179894058058
0,-170,-103.18298617819066,15.793046936886574,14.697240839876955
0,-168,-103.1743311509671,15.809055311777891,14.826450435030631
0,-166,-103.1656759848495,15.825063943568233,14.92498426203365
0,-164,-103.15702067970571,15.841072832501993,15.553401643845847
0,-162,-103.1483652354037,15.85708197882338,16.46757968208712
0,-160,-103.13970965181143,15.873091382776629,17.367805588707366
0,-158,-103.13105392879686,15.889101044605946,18.25407870282802
0,-156,-103.12239806622797,15.905110964555517,19.12639836270612
0,-154,-103.11374206397277,15.921121142869499,19.647147783725238
0,-152,-103.10508592189927,15.937131579791965,19.3718318694788
0,-150,-103.09642963987548,15.953142275567101,19.229226450960955
0,-148,-103.08777321776947,15.969153230438907,19.219337966084726
0,-146,-103.07911665544933,15.985164444651351,18.658112064706476
0,-144,-103.07045995278308,16.001175918448542,17.443315836363205
0,-142,-103.06180310963889,16.01718765207434,16.336836578251006
0,-140,-103.05314612588481,16.03319964577278,15.542721345410776
0,-138,-103.04448900138897,16.04921189978777,15.060985354473868
0,-136,-103.03583173601953,16.06522441436316,14.891643841354366
0,-134,-103.02717432964467,16.08123718974279,15.034712061243809
0,-132,-103.01851678213256,16.09725022617044,15.338019971842781
0,-130,-103.00985909335141,16.113263523889938,15.689232674329219
0,-128,-103.0012012631694,16.129277083145034,16.094353970630756
0,-126,-102.9925432914548,16.145290904179443,16.346766312179113
0,-124,-102.98388517807578,16.161304987236928,16.671830220371437
0,-122,-102.97522692290066,16.17731933256109,16.728842748994676
0,-120,-102.96656852579771,16.19333394039556,16.626515183190687
0,-118,-102.95790998663524,16.209348810983922,16.539161677121143
0,-116,-102.94925130528154,16.225363944569796,16.46678296691992
0,-114,-102.94059248160492,16.24137934139672,16.40937978964459
0,-112,-102.93193351547379,16.25739500170813,16.20633924652313
0,-110,-102.92327440675643,16.27341092574761,15.848551033961984
0,-108,-102.91461515532127,16.28942711375855,15.558532272155073
0,-106,-102.9059557610367,16.305443565984373,15.219985966614319
0,-104,-102.89729622377108,16.321460282668525,14.628785786459902
0,-102,-102.8886365433929,16.33747726405427,13.928640469528553
0,-100,-102.87997671977058,16.353494510385,13.513945514078635
0,-98,-102.87131675277259,16.369512021903983,13.047311166569669
0,-96,-102.8626566422674,16.385529798854474,12.528734839303
0,-94,-102.85399638812352,16.401547841479687,11.958213941384162
0,-92,-102.84533599020945,16.417566150022854,11.274917584565644
0,-90,-102.83667544839372,16.43358472472714,9.705536629422172
0,-88,-102.82801476254485,16.449603565835723,8.399506001998402
0,-86,-102.81935393253146,16.465622673591636,7.282696733940793
0,-84,-102.81069295822206,16.481642048238026,6.3596654782332545
0,-82,-102.80203183948531,16.497661690017875,5.630421911599667
0,-80,-102.79337057618979,16.51368159917423,5.471214570489308
0,-78,-102.78470916820415,16.529701775950045,5.517331787824824
0,-76,-102.77604761539702,16.545722220588285,5.7003216895889075
0,-74,-102.76738591763709,16.56174293333185,6.020191147236557
0,-72,-102.75872407479302,16.577763914423635,6.4769470406387475
0,-70,-102.75006208673352,16.593785164106507,7.7548460140665245
0,-68,-102.7413999533273,16.60980668262328,9.60733161220813
0,-66,-102.73273767444307,16.6258284702168,11.237553239190659
0,-64,-102.72407524994964,16.64185052712972,12.642964588853628
0,-62,-102.71541267971574,16.657872853604808,13.823554339200943
0,-60,-102.70674996361015,16.6738954498848,14.508689541471693
0,-58,-102.69808710150168,16.689918316212328,14.399739489943883
0,-56,-102.68942409325916,16.705941452830018,13.735112865576433
0,-54,-102.68076093875142,16.721964859980485,12.514781524846223
0,-52,-102.67209763784732,16.737988537906276,10.738717290107775
0,-50,-102.66343419041573,16.75401248684992,6.459902703935796
0,-48,-102.65477059632553,16.77003670705394,-3.3679952025601008
0,-46,-102.64610685544564,16.786061198760816,-13.082108225778256
0,-44,-102.63744296764499,16.80208596221294,-22.68243071798955
0,-42,-102.62877893279247,16.81811099765281,-32.168957024536006
0,-40,-102.62011475075712,16.834136305322666,-41.1688326484686
0,-38,-102.61145042140787,16.850161885464956,-42.813799237772066
0,-36,-102.60278594461369,16.866187738321997,-44.01590318243489
0,-34,-102.59412132024363,16.882213864136002,-44.775121880149044
0,-32,-102.5854565481667,16.898240263149255,-45.09143270144622
0,-30,-102.57679162825198,16.91426693560392,-44.58673153646136
0,-28,-102.56812656036853,16.93029388174218,-44.92760830757202
0,-26,-102.55946134438541,16.946321101806195,-45.51077985195278
0,-24,-102.55079598017173,16.962348596038098,-46.14295827833178
0,-22,-102.54213046759659,16.978376364679963,-46.8241461118265
0,-20,-102.53346480652915,16.994404407973825,-47.55434588055566
0,-18,-102.52479899683854,17.01043272616173,-49.59329186327309
0,-16,-102.51613303839395,17.026461319485637,-52.49150721315607
0,-14,-102.50746693106456,17.042490188187482,-55.60180028004182
0,-12,-102.49880067471956,17.058519332509224,-58.87753095705162
0,-10,-102.49013426922821,17.0745487526927,-61.957629884879644
0,-8,-102.48146771445971,17.090578448979805,-65.22729639503572
0,-6,-102.47280101028338,17.106608421612282,-68.66816248248752
0,-4,-102.46413415656845,17.122638670831975,-72.03606551426532
0,-2,-102.45546715318422,17.13866919688064,-75.33100175967283
0,0,-102.4468,17.1547,-78.55296748353466
0,2,-102.43812849629946,17.170738849852707,-81.0767176522407
0,4,-102.42945684737698,17.186777968308515,-81.6052240259522
0,6,-102.42078505310062,17.2028173556115,-81.93244975553714
0,8,-102.4121131133384,17.218857012005714,-81.92801617473752
0,10,-102.40344102795842,17.23489693773518,-81.64407881623173
0,12,-102.39476879682876,17.25093713304387,-81.08530534786328
0,14,-102.38609641981752,17.266977598175732,-78.44634135727131
0,16,-102.37742389679283,17.283018333374685,-75.834377134064
0,18,-102.36875122762285,17.299059338884593,-73.24941400513518
0,20,-102.36007841217571,17.315100614949355,-70.69145329904151
0,22,-102.35140545031959,17.33114216181278,-68.16049634602074
0,24,-102.3427323419227,17.347183979718636,-66.89810453583566
0,26,-102.33405908685324,17.36322606891068,-66.03462963593381
0,28,-102.32538568497942,17.379268429632706,-65.93440434335429
0,30,-102.3167121361695,17.395311062128364,-65.8519412901681
0,32,-102.30803844029174,17.411353966641315,-65.72639425712256
0,34,-102.29936459721445,17.427397143415135,-65.13489166970399
0,36,-102.29069060680587,17.443440592693538,-64.18558536969886
0,38,-102.28201646893433,17.459484314720044,-63.06692882093993
0,40,-102.2733421834682,17.475528309738127,-61.778913366330166
0,42,-102.26466775027579,17.491572577991366,-60.321530338336316
0,44,-102.25599316922546,17.50761711972324,-58.55180802581956
0,46,-102.24731844018562,17.52366193517713,-56.71058516323274
0,48,-102.23864356302465,17.539707024596495,-55.244538768868196
0,50,-102.22996853761099,17.55575238822467,-54.10918806547818
0,52,-102.22129336381305,17.57179802630502,-53.304549999164855
0,54,-102.21261804149928,17.58784393908087,-53.4090615783501
0,56,-102.20394257053817,17.603890126795473,-55.186841776309116
0,58,-102.19526695079821,17.619936589692074,-57.081925230484565
0,60,-102.1865911821479,17.6359833280139,-59.094318005678815
0,62,-102.17791526445576,17.65203034200409,-61.2240261738952
0,64,-102.16923919759034,17.668077631905824,-63.415284201225454
0,66,-102.1605629814202,17.684125197962206,-65.20728707470295
0,68,-102.15188661581394,17.700173040416267,-66.95008997414331
0,70,-102.14321010064008,17.716221159511186,-68.55858339076102
0,72,-102.13453343576731,17.732269555489832,-70.03276039846997
0,74,-102.12585662106422,17.748318228595288,-71.37261406294833
0,76,-102.11717965639944,17.764367179070494,-66.45372824908621
0,78,-102.10850254164167,17.780416407158352,-60.48680739864723
0,80,-102.0998252766596,17.7964659131017,-54.17786101806588
0,82,-102.09114786132193,17.812515697143404,-47.5268712454718
0,84,-102.08247029549734,17.828565759526338,-40.52030121325112
0,86,-102.07379257905461,17.844616100493234,-33.41401705545313
0,88,-102.06511471186246,17.860666720286886,-26.671635596081686
0,90,-102.05643669378969,17.876717619149975,-20.25808055526914
0,92,-102.04775852470509,17.89276879732519,-14.173369001218116
0,94,-102.03908020447746,17.908820255055183,-8.417518022337475
0,96,-102.03040173297562,17.924871992582588,-3.4581229276660466
0,98,-102.02172311006844,17.94092401014996,0.9245559269633317
0,100,-102.01304433562476,17.956976307999874,5.242112796824847
0,102,-102.00436540951347,17.973028886374834,9.494544330424688
0,104,-101.9956863316035,17.98908174551729,14.372925798516228
0,106,-101.9870071017637,18.00513488566979,18.98770347282782
0,108,-101.97832771986306,18.021188307074652,22.222167851089566
0,110,-101.96964818577052,18.0372420099743,25.6523187110594
0,112,-101.96096849935506,18.053295994611073,29.27816639988957
0,114,-101.95228866048565,18.069350261227317,33.09972127672664
0,116,-101.94360866903132,18.085404810065267,36.803492083488756
0,118,-101.93492852486109,18.10145964136719,38.428122972317425
0,120,-101.926248227844,18.117514755375318,39.96749296701266
0,122,-101.91756777784911,18.133570152331814,41.421597583367124
0,124,-101.90888717474553,18.149625832478808,43.40217297537552
0,126,-101.90020641840236,18.165681796058383,45.428283560795286
0,128,-101.8915255086887,18.18173804331267,43.82121125796695
0,130,-101.88284444547368,18.19779457448372,41.45408449088478
0,132,-101.87416322862647,18.213851389813513,38.54697041097369
