1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1900,1900
1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1900,2400,2520
1030,1030,1030,1030,1030,1030,1030,1900,1900,1900,1030,1030,1030,1030,1030,1030,1900,2250,2400,2520
1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1030,1900,2250,2250,2400,2750
2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,1900,2250,2250,2250,2250,2750
2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2500,2500,2500,2250,2500,2500,2750
2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2500,2500,2850,2500,2750
2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2500
3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,2850,2850,2850,2850,2850,2850,2500
3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,2850,2850,2850,2850,2850,2500
3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,2850,2850,3310,2850,2850
3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,2850
3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,2850
3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310
3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310
3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310
3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310
3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310
3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310
3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310,3310
